cell_id,true_label,pred_label_raw,pred_label_aligned
0,2,2,3
1,1,3,1
2,0,1,0
3,1,3,1
4,1,3,1
5,3,2,3
6,0,1,0
7,1,3,1
8,2,0,2
9,3,2,3
10,3,2,3
11,0,1,0
12,3,2,3
13,3,2,3
14,3,2,3
15,0,1,0
16,3,2,3
17,3,2,3
18,1,3,1
19,0,1,0
20,1,3,1
21,2,2,3
22,3,2,3
23,0,1,0
24,3,2,3
25,3,2,3
26,3,2,3
27,2,0,2
28,0,1,0
29,3,2,3
30,2,2,3
31,0,1,0
32,3,2,3
33,3,2,3
34,3,2,3
35,0,1,0
36,1,3,1
37,3,2,3
38,0,1,0
39,3,2,3
40,3,2,3
41,3,2,3
42,1,3,1
43,1,3,1
44,3,2,3
45,0,1,0
46,3,2,3
47,0,1,0
48,3,2,3
49,3,2,3
50,3,2,3
51,2,3,1
52,2,0,2
53,3,0,2
54,0,1,0
55,1,3,1
56,0,1,0
57,1,3,1
58,2,2,3
59,3,2,3
60,3,2,3
61,3,2,3
62,3,2,3
63,3,2,3
64,1,3,1
65,3,2,3
66,3,2,3
67,0,3,1
68,0,1,0
69,1,3,1
70,0,1,0
71,3,2,3
72,3,2,3
73,3,2,3
74,3,2,3
75,3,2,3
76,3,2,3
77,2,0,2
78,1,3,1
79,3,2,3
80,3,2,3
81,3,2,3
82,3,2,3
83,3,2,3
84,3,2,3
85,3,2,3
86,3,0,2
87,0,1,0
88,1,3,1
89,3,0,2
90,0,1,0
91,3,2,3
92,0,1,0
93,3,2,3
94,0,1,0
95,3,2,3
96,3,2,3
97,3,2,3
98,3,2,3
99,3,2,3
100,3,2,3
101,1,3,1
102,1,3,1
103,1,3,1
104,2,2,3
105,2,2,3
106,1,3,1
107,3,2,3
108,3,2,3
109,3,2,3
110,1,3,1
111,0,1,0
112,3,2,3
113,3,2,3
114,3,2,3
115,3,2,3
116,3,2,3
117,0,1,0
118,3,2,3
119,0,1,0
120,3,2,3
121,0,1,0
122,3,2,3
123,2,3,1
124,2,0,2
125,3,2,3
126,0,3,1
127,3,2,3
128,3,2,3
129,1,3,1
130,2,2,3
131,3,2,3
132,2,2,3
133,0,1,0
134,1,3,1
135,3,2,3
136,3,2,3
137,0,1,0
138,3,2,3
139,1,3,1
140,0,3,1
141,3,2,3
142,1,3,1
143,3,2,3
144,1,3,1
145,3,2,3
146,3,2,3
147,3,0,2
148,0,1,0
149,3,2,3
150,3,2,3
151,1,3,1
152,2,2,3
153,3,2,3
154,3,2,3
155,3,2,3
156,3,2,3
157,3,2,3
158,1,3,1
159,0,1,0
160,3,2,3
161,3,2,3
162,1,3,1
163,1,3,1
164,3,2,3
165,3,2,3
166,3,2,3
167,2,0,2
168,3,2,3
169,3,2,3
170,2,0,2
171,0,1,0
172,2,0,2
173,0,3,1
174,0,1,0
175,2,2,3
176,1,3,1
177,3,2,3
178,2,0,2
179,2,0,2
180,3,2,3
181,0,3,1
182,3,2,3
183,0,1,0
184,3,2,3
185,3,2,3
186,3,0,2
187,3,2,3
188,3,2,3
189,1,3,1
190,3,0,2
191,1,3,1
192,3,2,3
193,2,0,2
194,3,2,3
195,3,2,3
196,3,2,3
197,2,0,2
198,3,2,3
199,0,1,0
200,0,1,0
201,3,2,3
202,3,2,3
203,3,0,2
204,0,1,0
205,0,1,0
206,1,3,1
207,1,3,1
208,3,2,3
209,3,2,3
210,1,3,1
211,3,2,3
212,0,1,0
213,0,1,0
214,3,2,3
215,3,2,3
216,3,2,3
217,3,2,3
218,3,2,3
219,3,2,3
220,3,2,3
221,2,2,3
222,3,2,3
223,3,2,3
224,3,2,3
225,3,2,3
226,2,0,2
227,3,2,3
228,1,3,1
229,1,3,1
230,3,2,3
231,3,2,3
232,2,0,2
233,3,2,3
234,3,2,3
235,2,0,2
236,3,2,3
237,3,2,3
238,3,2,3
239,1,3,1
240,2,0,2
241,2,2,3
242,0,3,1
243,2,0,2
244,0,1,0
245,0,1,0
246,3,2,3
247,2,0,2
248,0,1,0
249,1,3,1
250,0,1,0
251,0,1,0
252,0,3,1
253,3,2,3
254,2,2,3
255,0,3,1
256,3,2,3
257,3,2,3
258,3,2,3
259,3,2,3
260,1,3,1
261,3,2,3
262,3,2,3
263,1,3,1
264,3,2,3
265,3,2,3
266,3,2,3
267,3,2,3
268,3,2,3
269,1,3,1
270,1,3,1
271,1,3,1
272,3,2,3
273,2,0,2
274,3,2,3
275,0,1,0
276,3,2,3
277,1,3,1
278,3,2,3
279,0,1,0
280,2,0,2
281,2,2,3
282,3,2,3
283,3,2,3
284,1,3,1
285,3,2,3
286,3,2,3
287,2,0,2
288,3,0,2
289,1,3,1
290,3,2,3
291,3,2,3
292,2,2,3
293,0,1,0
294,0,1,0
295,3,2,3
296,3,0,2
297,2,0,2
298,2,0,2
299,3,2,3
300,3,2,3
301,3,2,3
302,3,2,3
303,3,2,3
304,3,2,3
305,1,3,1
306,1,3,1
307,3,2,3
308,3,2,3
309,1,3,1
310,3,2,3
311,2,0,2
312,2,2,3
313,2,0,2
314,2,0,2
315,1,3,1
316,2,0,2
317,3,2,3
318,3,2,3
319,3,2,3
320,2,0,2
321,1,3,1
322,0,1,0
323,0,1,0
324,0,3,1
325,3,2,3
326,3,2,3
327,2,2,3
328,3,2,3
329,1,3,1
330,3,2,3
331,1,3,1
332,3,2,3
333,3,2,3
334,3,2,3
335,0,1,0
336,3,2,3
337,3,2,3
338,1,3,1
339,3,2,3
340,2,2,3
341,1,3,1
342,0,1,0
343,2,0,2
344,0,1,0
345,3,2,3
346,2,2,3
347,2,2,3
348,3,2,3
349,2,0,2
350,3,2,3
351,0,1,0
352,0,1,0
353,1,3,1
354,3,2,3
355,3,2,3
356,2,0,2
357,2,0,2
358,0,1,0
359,2,0,2
360,2,0,2
361,2,2,3
362,3,2,3
363,3,2,3
364,1,3,1
365,3,2,3
366,0,1,0
367,3,2,3
368,1,3,1
369,3,2,3
370,2,0,2
371,3,2,3
372,3,2,3
373,2,0,2
374,0,1,0
375,3,2,3
376,3,2,3
377,3,2,3
378,3,2,3
379,2,0,2
380,2,0,2
381,1,3,1
382,2,2,3
383,1,3,1
384,0,1,0
385,3,2,3
386,3,2,3
387,3,2,3
388,2,2,3
389,3,2,3
390,1,3,1
391,3,2,3
392,1,3,1
393,3,2,3
394,2,0,2
395,1,3,1
396,1,3,1
397,3,2,3
398,3,2,3
399,3,2,3
400,3,2,3
401,3,2,3
402,3,2,3
403,1,3,1
404,3,2,3
405,3,2,3
406,2,0,2
407,2,0,2
408,0,1,0
409,0,1,0
410,0,1,0
411,0,1,0
412,1,3,1
413,3,2,3
414,3,2,3
415,2,0,2
416,0,1,0
417,2,0,2
418,3,2,3
419,0,1,0
420,3,2,3
421,3,2,3
422,0,3,1
423,3,2,3
424,3,2,3
425,3,2,3
426,0,1,0
427,3,2,3
428,1,3,1
429,3,2,3
430,1,3,1
431,3,2,3
432,3,2,3
433,3,2,3
434,1,3,1
435,3,2,3
436,2,2,3
437,2,2,3
438,1,3,1
439,3,2,3
440,1,3,1
441,3,2,3
442,2,0,2
443,0,1,0
444,0,1,0
445,3,2,3
446,2,0,2
447,3,2,3
448,2,0,2
449,0,1,0
450,2,0,2
451,3,2,3
452,3,2,3
453,3,2,3
454,3,2,3
455,2,0,2
456,3,2,3
457,3,2,3
458,2,2,3
459,3,2,3
460,0,1,0
461,3,2,3
462,3,2,3
463,1,3,1
464,3,2,3
465,3,2,3
466,1,3,1
467,3,2,3
468,2,0,2
469,3,2,3
470,3,2,3
471,3,2,3
472,3,2,3
473,0,1,0
474,2,3,1
475,2,0,2
476,2,2,3
477,3,2,3
478,0,1,0
479,3,2,3
480,3,2,3
481,3,2,3
482,1,3,1
483,1,3,1
484,3,2,3
485,3,2,3
486,3,2,3
487,2,0,2
488,0,1,0
489,3,2,3
490,3,2,3
491,3,2,3
492,1,3,1
493,2,2,3
494,1,3,1
