,num epoch,Loss_gmcm,Loss_total,recon_loss,zinb_loss
0,1,89.74352,117.57559,27.729164,1.0028948
1,2,87.477585,119.74484,32.16743,0.9773553
2,3,83.842964,108.777405,24.833252,0.9652404
3,4,81.99339,115.7514,33.655872,0.9725329
4,5,79.34225,113.909004,34.463787,0.96826416
5,6,76.900505,111.318985,34.314648,0.9658249
6,7,74.1646,105.56065,31.291328,0.9660815
7,8,71.76819,84.80743,12.933407,0.9702457
8,9,70.82575,78.10181,7.169296,0.9719435
9,10,69.9248,75.97094,5.938777,0.97098196
10,11,68.62616,73.94534,5.2113266,0.9696774
11,12,67.83723,73.64847,5.702892,0.96884966
12,13,67.530136,73.28318,5.6442614,0.9682265
13,14,67.178535,72.00431,4.716617,0.96763337
14,15,66.42407,70.36558,3.8320422,0.9670589
15,16,65.779076,69.473526,3.5847108,0.96651757
16,17,65.52333,69.61169,3.978379,0.9661286
17,18,65.30315,69.23114,3.817796,0.9660219
18,19,64.94022,68.678894,3.6282659,0.96610934
19,20,64.61016,68.383995,3.6632376,0.9663027
20,21,64.12799,67.595726,3.3569727,0.96657497
21,22,63.895245,67.16659,3.160426,0.9669292
22,23,63.743717,67.08379,3.2290158,0.9673641
23,24,63.455246,66.903564,3.337134,0.96788806
24,25,63.059742,66.272125,3.1011035,0.9684634
25,26,62.814053,66.1591,3.233713,0.9690254
26,27,62.59424,65.88587,3.1802335,0.96953064
27,28,62.603115,65.76317,3.0486236,0.9699586
28,29,62.34619,65.49549,3.037861,0.9703095
29,30,62.03314,65.06265,2.9180827,0.97059673
30,31,61.950035,65.17348,3.112042,0.9708243
31,32,61.88645,64.98466,2.986851,0.9709988
32,33,61.73353,64.89591,3.0510917,0.97113013
33,34,61.534317,64.774345,3.128814,0.97122353
34,35,61.29198,64.57273,3.169638,0.9712774
35,36,61.121365,64.26749,3.0351129,0.9712931
36,37,61.13269,64.16324,2.9196553,0.971276
37,38,60.951534,64.038734,2.9764261,0.9712278
38,39,60.75506,63.856487,2.9907858,0.9711528
39,40,60.818764,63.89979,2.9705262,0.9710638
40,41,60.666965,63.71818,2.940861,0.9709592
41,42,60.611042,63.731216,3.0099723,0.9708457
42,43,60.632996,63.508293,2.765245,0.970732
43,44,60.61259,63.741344,3.0188494,0.9706231
44,45,60.43772,63.393864,2.8463895,0.9705231
45,46,60.40116,63.44636,2.9355981,0.9704347
46,47,60.449085,63.45372,2.8951783,0.9703599
47,48,60.29828,63.09684,2.6892476,0.97030157
48,49,60.008503,62.88398,2.7662988,0.9702605
49,50,60.047253,62.951454,2.7951593,0.9702366
50,51,60.163662,63.161373,2.8887992,0.970228
51,52,60.04919,62.94249,2.784516,0.9702322
52,53,59.858135,62.6128,2.6460056,0.97024757
53,54,59.871544,62.40314,2.4230566,0.97027326
54,55,59.879658,62.072662,2.0845768,0.97030985
55,56,59.923016,61.87122,1.8398886,0.9703571
56,57,59.8487,61.639774,1.6828666,0.97041446
57,58,59.687546,61.243706,1.4480578,0.9704808
58,59,59.74194,61.226654,1.376708,0.9705535
59,60,59.792377,61.210114,1.3098202,0.9706291
60,61,59.659695,60.99523,1.2277086,0.9707049
61,62,59.591892,60.89795,1.1983063,0.97077787
62,63,59.626408,60.93861,1.2045221,0.97084606
63,64,59.458366,60.796604,1.2306226,0.9709081
64,65,59.388153,60.724197,1.2284861,0.97096264
65,66,59.47484,60.867973,1.2856301,0.9710089
66,67,59.504585,60.902153,1.2901077,0.9710463
67,68,59.448807,60.86142,1.3051958,0.9710751
68,69,59.435284,60.85631,1.3136506,0.97109604
69,70,59.407883,60.866764,1.3515403,0.9711104
70,71,59.288383,60.712936,1.3172455,0.9711193
71,72,59.33236,60.76458,1.3249416,0.971124
72,73,59.361572,60.81495,1.3461256,0.9711252
73,74,59.29855,60.74804,1.3422654,0.97112423
74,75,59.22435,60.666122,1.3345733,0.9711214
