,True,Pred
0,1,8
1,4,7
2,1,8
3,1,8
4,5,7
5,5,7
6,1,8
7,3,8
8,1,8
9,0,7
10,0,7
11,1,8
12,2,8
13,1,8
14,1,8
15,2,8
16,2,7
17,0,7
18,1,8
19,4,7
20,0,7
21,3,8
22,0,7
23,1,8
24,2,8
25,4,7
26,0,7
27,0,7
28,0,7
29,1,8
30,1,0
31,7,8
32,4,7
33,4,7
34,7,7
35,0,7
36,0,7
37,1,8
38,3,8
39,4,7
40,4,7
41,0,7
42,4,7
43,0,7
44,4,7
45,4,7
46,0,7
47,1,8
48,4,7
49,1,8
50,4,7
51,1,8
52,2,8
53,0,7
54,0,7
55,4,7
56,8,7
57,0,7
58,1,8
59,0,7
60,1,8
61,1,8
62,1,8
63,0,7
64,0,7
65,7,8
66,4,7
67,1,8
68,4,8
69,1,8
70,2,8
71,0,7
72,0,7
73,5,7
74,2,7
75,4,7
76,1,8
77,0,7
78,0,7
79,0,7
80,1,8
81,7,8
82,1,8
83,7,8
84,1,8
85,3,8
86,4,7
87,7,8
88,0,7
89,0,7
90,2,8
91,0,7
92,4,7
93,1,0
94,2,8
95,0,7
96,2,8
97,1,8
98,0,7
99,0,7
100,2,8
101,1,8
102,5,7
103,0,7
104,4,7
105,1,0
106,0,7
107,0,7
108,0,7
109,4,7
110,4,7
111,1,8
112,2,8
113,3,8
114,0,7
115,4,7
116,1,8
117,0,7
118,1,8
119,1,8
120,1,8
121,4,7
122,0,7
123,1,8
124,0,7
125,3,8
126,1,8
127,1,8
128,0,7
129,4,7
130,4,7
131,1,8
132,0,7
133,0,7
134,1,8
135,4,7
136,1,8
137,4,7
138,1,8
139,0,7
140,4,7
141,7,8
142,1,8
143,4,7
144,1,8
145,3,8
146,1,8
147,2,8
148,1,8
149,7,8
150,1,8
151,0,7
152,4,7
153,1,8
154,4,7
155,0,7
156,4,7
157,0,7
158,4,7
159,0,7
160,0,7
161,4,7
162,1,8
163,0,7
164,1,8
165,0,7
166,1,8
167,0,7
168,4,7
169,4,7
170,4,7
171,1,8
172,2,8
173,4,7
174,0,7
175,0,7
176,1,8
177,1,8
178,0,7
179,7,8
180,4,7
181,1,0
182,1,8
183,7,8
184,1,0
185,7,8
186,3,8
187,1,0
188,1,8
189,1,0
190,5,7
191,1,8
192,2,8
193,2,8
194,1,8
195,1,0
196,1,0
197,3,8
198,7,8
199,1,0
200,3,8
201,1,8
202,7,8
203,2,8
204,1,0
205,1,0
206,2,8
207,1,8
208,2,8
209,1,0
210,3,8
211,1,0
212,3,8
213,1,8
214,1,8
215,2,8
216,3,8
217,1,8
218,1,0
219,2,8
220,2,8
221,4,7
222,1,8
223,3,8
224,3,8
225,7,8
226,1,8
227,1,0
228,1,8
229,8,7
230,1,8
231,4,7
232,7,8
233,7,8
234,0,7
235,1,0
236,1,0
237,2,8
238,7,8
239,7,8
240,7,8
241,3,8
242,2,8
243,1,0
244,2,8
245,2,8
246,2,8
247,3,8
248,1,0
249,2,8
250,2,8
251,3,8
252,2,8
253,7,8
254,1,0
255,2,8
256,1,8
257,7,8
258,2,8
259,3,8
260,2,8
261,8,7
262,3,8
263,2,8
264,4,7
265,1,8
266,1,0
267,3,2
268,2,8
269,7,8
270,2,8
271,1,8
272,2,8
273,1,0
274,2,8
275,2,8
276,1,8
277,1,8
278,2,8
279,1,8
280,1,0
281,3,8
282,1,8
283,1,8
284,1,0
285,1,8
286,3,8
287,1,8
288,7,8
289,7,8
290,1,0
291,3,8
292,7,8
293,1,8
294,4,8
295,2,8
296,2,8
297,1,0
298,1,8
299,2,8
300,4,8
301,2,8
302,4,7
303,7,8
304,7,8
305,1,8
306,2,8
307,4,7
308,2,8
309,4,7
310,7,8
311,4,7
312,2,8
313,1,8
314,7,8
315,1,0
316,4,7
317,2,8
318,1,8
319,2,8
320,1,0
321,1,0
322,1,8
323,7,8
324,2,8
325,1,0
326,2,8
327,2,8
328,3,8
329,1,0
330,7,8
331,4,7
332,2,8
333,3,8
334,1,0
335,1,0
336,7,8
337,1,8
338,1,0
339,7,8
340,3,8
341,2,7
342,3,8
343,7,8
344,7,8
345,4,7
346,1,8
347,2,8
348,1,0
349,2,8
350,2,8
351,1,0
352,2,8
353,1,8
354,1,0
355,1,0
356,1,8
357,7,8
358,1,0
359,1,0
360,2,8
361,2,8
362,1,0
363,2,8
364,1,8
365,1,0
366,3,8
367,7,8
368,3,8
369,1,8
370,2,8
371,1,8
