,True,Pred
0,0,1
1,0,1
2,0,1
3,1,2
4,0,1
5,3,3
6,1,2
7,0,1
8,1,2
9,1,2
10,1,2
11,0,1
12,0,1
13,0,1
14,0,1
15,0,1
16,1,2
17,0,1
18,0,1
19,1,2
20,0,1
21,0,1
22,0,1
23,0,1
24,1,2
25,0,1
26,0,1
27,1,2
28,0,1
29,0,1
30,1,2
31,0,1
32,0,1
33,0,1
34,0,1
35,1,2
36,1,2
37,1,2
38,1,2
39,1,2
40,0,1
41,0,1
42,0,1
43,3,3
44,0,1
45,0,1
46,0,1
47,0,1
48,1,2
49,0,1
50,1,2
51,2,3
52,0,1
53,0,1
54,0,1
55,1,2
56,1,2
57,1,2
58,0,1
59,1,2
60,0,1
61,1,2
62,0,1
63,1,2
64,1,2
65,0,1
66,0,1
67,0,1
68,0,1
69,0,1
70,0,1
71,0,1
72,1,2
73,1,2
74,1,2
75,1,2
76,1,2
77,0,1
78,1,2
79,1,2
80,0,1
81,1,2
82,0,1
83,0,1
84,0,1
85,0,1
86,0,1
87,1,2
88,0,1
89,0,1
90,1,2
91,1,2
92,2,3
93,0,1
94,0,1
95,1,2
96,0,1
97,0,1
98,0,1
99,0,1
100,1,2
101,0,1
102,0,1
103,1,2
104,0,1
105,1,2
106,0,1
107,0,1
108,0,1
109,0,1
110,0,1
111,0,1
112,0,1
113,0,1
114,0,1
115,1,2
116,1,2
117,3,3
118,1,2
119,1,2
120,1,2
121,1,2
122,1,2
123,0,1
124,0,1
125,0,1
126,1,2
127,0,1
128,1,2
129,0,1
130,1,2
131,0,1
132,0,1
133,2,3
134,1,2
135,0,1
136,1,2
137,1,2
138,0,1
139,0,1
140,0,1
141,3,3
142,1,2
143,1,2
144,0,1
145,1,2
146,1,2
147,1,2
148,0,1
149,1,2
150,1,2
151,1,2
152,0,1
153,1,2
154,1,2
155,0,1
156,1,2
157,0,1
158,1,2
159,0,1
160,0,1
161,1,2
162,1,2
163,0,1
164,1,2
165,0,1
166,1,2
167,0,1
168,0,1
169,0,1
170,0,1
171,1,2
172,0,1
173,1,2
174,0,1
175,1,2
176,1,2
177,1,2
178,0,1
179,0,1
180,0,1
181,1,2
182,3,3
183,1,2
184,0,1
185,0,1
186,0,1
187,1,2
188,0,1
189,1,2
190,0,1
191,1,2
192,0,1
193,0,1
194,1,2
195,1,2
196,0,1
197,0,1
198,0,1
199,1,2
200,0,1
201,0,1
202,1,2
203,1,2
204,0,1
205,0,1
206,1,2
207,1,2
208,1,2
209,2,3
210,1,2
211,1,2
212,1,2
213,1,2
214,0,1
215,1,2
216,0,1
217,0,1
218,0,1
219,0,1
220,1,2
221,0,1
222,0,1
223,0,1
224,0,1
225,0,1
226,0,1
227,0,1
228,0,1
229,0,1
230,1,2
231,1,2
232,1,2
233,1,2
234,0,1
235,0,1
236,1,2
237,1,2
238,1,2
239,0,1
240,1,2
241,1,2
242,0,1
243,3,3
244,1,2
245,0,1
246,0,1
247,0,1
248,1,2
249,1,2
250,0,1
251,1,2
252,0,1
253,1,2
254,0,1
255,0,1
256,0,1
257,1,2
258,1,2
259,1,2
260,1,2
261,1,2
262,0,1
263,1,2
264,0,1
265,1,2
266,0,1
267,0,1
268,0,1
269,0,1
270,0,1
271,1,2
272,1,2
273,0,1
274,1,2
275,1,2
276,0,1
277,0,1
278,0,1
279,3,3
280,2,3
281,0,1
282,1,2
283,0,1
284,1,2
285,1,2
286,0,1
287,0,1
288,0,1
289,1,2
290,1,2
291,1,2
292,1,2
293,0,1
294,1,2
295,0,1
296,0,1
297,0,1
298,0,1
299,1,2
300,1,2
301,0,1
302,0,1
303,0,1
304,0,1
305,1,2
306,1,2
307,0,1
308,1,2
309,1,2
310,0,1
311,0,1
312,1,2
313,1,2
314,1,2
315,0,1
316,1,2
317,0,1
318,1,2
319,3,3
320,1,2
321,0,1
322,0,1
323,0,1
324,0,1
325,0,1
326,0,1
327,1,2
328,0,1
329,0,1
330,1,2
331,1,2
332,0,1
333,1,2
334,1,2
335,0,1
336,0,1
337,1,2
338,0,1
339,3,3
340,0,1
341,0,1
342,0,1
343,1,2
344,1,2
345,1,2
346,1,1
347,0,1
348,1,2
349,3,3
350,0,1
351,1,2
352,0,1
353,0,1
354,1,2
355,1,2
356,0,1
357,1,2
358,1,2
359,0,1
360,1,2
361,0,1
362,0,1
363,1,2
364,2,3
365,1,2
366,0,1
367,1,2
368,2,3
369,3,3
370,0,1
371,1,2
372,0,1
373,0,1
374,1,2
375,1,2
376,0,1
377,1,2
378,1,2
379,2,3
380,1,2
381,0,1
382,1,2
383,1,2
384,1,2
385,3,1
386,0,1
387,1,2
388,1,2
389,0,1
390,3,3
391,0,1
392,1,2
393,0,1
394,0,1
395,1,2
396,3,3
397,0,1
398,0,1
399,1,2
400,1,2
401,1,2
402,0,1
403,0,1
404,1,2
405,0,1
406,1,2
407,1,2
408,1,2
409,0,1
410,1,2
411,1,2
412,1,2
413,0,1
414,0,1
415,0,1
416,1,2
417,0,1
