,True,Pred
0,4,1
1,3,0
2,3,0
3,0,4
4,0,4
5,1,3
6,2,2
7,4,1
8,4,1
9,4,1
10,4,1
11,4,1
12,4,1
13,4,1
14,4,1
15,4,1
16,4,1
17,4,1
18,3,0
19,0,4
20,4,1
21,4,1
22,4,1
23,4,1
24,4,1
25,4,1
26,4,1
27,3,0
28,4,1
29,3,0
30,3,0
31,4,1
32,3,0
33,3,0
34,3,0
35,0,4
36,0,4
37,4,1
38,4,1
39,4,1
40,3,0
41,3,0
42,3,0
43,0,4
44,2,2
45,0,4
46,4,1
47,1,3
48,4,1
49,4,1
50,4,1
51,4,1
52,4,1
53,3,0
54,0,4
55,0,4
56,1,3
57,4,1
58,4,1
59,4,1
60,4,1
61,4,1
62,4,1
63,4,1
64,4,1
65,4,1
66,4,1
67,4,1
68,4,1
69,3,0
70,3,0
71,3,0
72,3,0
73,4,1
74,4,1
75,4,1
76,4,1
77,4,1
78,4,1
79,4,1
80,3,0
81,3,0
82,3,0
83,3,0
84,3,0
85,0,4
86,3,0
87,3,0
88,0,4
89,0,4
90,2,2
91,1,3
92,4,1
93,4,1
94,4,1
95,4,4
96,3,0
97,3,0
98,0,4
99,1,3
100,1,3
101,1,3
102,4,1
103,4,1
104,4,1
105,4,1
106,4,1
107,4,1
108,3,0
109,0,4
110,2,2
111,1,3
112,4,1
113,4,1
114,4,1
115,4,1
116,4,1
117,4,1
118,4,1
119,4,1
120,4,1
121,4,1
122,4,1
123,3,0
124,3,0
125,4,1
126,4,1
127,4,1
128,4,1
129,4,1
130,4,1
131,4,1
132,4,1
133,3,0
134,3,0
135,3,0
136,3,0
137,0,4
138,0,4
139,3,0
140,3,0
141,0,4
142,2,2
143,1,3
144,1,3
145,4,1
146,4,1
147,3,0
148,3,0
149,0,4
150,0,4
151,1,3
152,1,3
153,2,2
154,4,1
155,4,1
156,4,1
157,4,1
158,4,1
159,4,1
160,4,1
161,3,0
162,0,4
163,2,2
164,1,3
165,4,1
166,4,1
167,4,1
168,4,1
169,4,1
170,4,1
171,4,1
172,4,1
173,4,1
174,4,1
175,4,1
176,3,0
177,4,1
178,4,1
179,4,1
180,4,1
181,4,1
182,4,1
183,4,1
184,4,1
185,3,0
186,3,0
187,3,0
188,0,4
189,0,4
190,3,0
191,3,0
192,0,4
193,0,4
194,2,2
195,1,3
196,2,2
197,4,1
198,4,1
199,4,1
200,3,0
201,3,0
202,0,4
203,0,4
204,2,2
205,2,2
206,4,1
207,4,1
208,4,1
209,4,1
210,4,1
211,4,1
212,0,4
213,0,4
214,1,3
215,4,1
216,4,1
217,4,1
218,4,1
219,4,1
220,4,1
221,4,1
222,4,1
223,4,1
224,4,1
225,4,1
226,3,0
227,3,0
228,4,1
229,4,1
230,4,1
231,4,1
232,4,1
233,4,1
234,4,1
235,4,1
236,4,1
237,3,0
238,3,0
239,3,0
240,0,4
241,0,4
242,3,0
243,3,0
244,0,4
245,0,4
246,2,2
247,1,3
