,True,Pred
0,4,0
1,5,1
2,2,2
3,5,1
4,5,1
5,5,1
6,0,3
7,4,0
8,5,1
9,5,1
10,5,1
11,5,1
12,4,0
13,2,2
14,4,0
15,5,1
16,2,2
17,4,0
18,5,1
19,2,2
20,4,0
21,5,1
22,0,3
23,0,3
24,4,0
25,5,1
26,5,1
27,2,2
28,5,1
29,2,2
30,5,1
31,5,1
32,0,3
33,4,0
34,5,1
35,4,0
36,5,1
37,3,4
38,5,1
39,2,2
40,5,1
41,5,1
42,2,2
43,5,1
44,5,1
45,0,3
46,5,1
47,5,1
48,1,5
49,5,1
50,5,1
51,5,1
52,4,0
53,5,1
54,5,1
55,2,2
56,5,1
57,5,1
58,4,0
59,5,1
60,5,1
61,2,2
62,5,1
63,4,0
64,5,1
65,2,2
66,5,1
67,4,0
68,5,1
69,0,3
70,5,1
71,2,2
72,5,1
73,0,3
74,5,1
75,5,1
76,5,1
77,5,1
78,5,1
79,4,0
80,5,1
81,5,1
82,4,0
83,5,1
84,5,1
85,5,1
86,4,0
87,5,1
88,5,1
89,5,1
90,5,1
91,4,0
92,5,1
93,5,1
94,4,0
95,5,1
96,5,1
97,5,1
98,5,1
99,5,1
100,5,1
101,5,1
102,5,1
103,5,1
104,5,1
105,4,0
106,5,1
107,4,0
108,5,1
109,5,1
110,4,0
111,5,1
112,5,1
113,4,0
114,5,1
115,5,1
116,5,1
117,5,1
118,2,2
119,5,1
120,4,0
121,5,1
122,5,1
123,5,1
124,4,0
125,5,1
126,4,0
127,5,1
128,2,2
129,0,3
130,2,2
131,0,3
132,2,2
133,2,2
134,2,2
135,2,2
136,0,3
137,0,3
138,1,5
139,1,5
140,4,0
141,4,0
142,4,0
143,3,4
144,4,0
145,1,5
146,2,2
147,1,5
148,2,2
149,2,2
150,1,5
151,0,3
152,2,2
153,0,3
154,2,2
155,1,5
156,0,3
157,2,2
158,2,2
159,1,5
160,0,3
161,2,2
162,3,4
163,5,1
164,5,1
165,5,1
166,5,1
167,5,1
168,4,0
169,4,0
170,4,0
171,5,1
172,5,1
173,2,2
174,5,1
175,5,1
176,2,2
177,0,3
178,5,1
179,4,0
180,4,0
181,4,0
182,2,2
183,2,2
184,5,1
185,5,1
186,5,1
187,5,1
188,1,5
189,5,1
190,5,1
191,5,1
192,5,1
193,5,1
194,5,1
195,1,5
196,5,1
197,5,1
198,5,1
199,5,1
200,5,1
201,5,1
202,5,1
203,5,1
204,5,1
205,4,0
206,4,0
207,4,0
208,2,2
209,2,2
210,4,0
211,4,0
212,2,2
213,2,2
214,1,5
215,0,3
216,1,5
217,5,1
218,5,1
219,4,0
220,4,0
221,4,0
222,2,2
223,2,2
224,0,3
225,5,1
226,5,1
227,5,1
228,5,1
229,4,0
230,5,1
231,5,1
232,5,1
233,5,1
234,5,1
235,2,2
236,0,3
237,5,1
238,5,1
239,5,1
240,5,1
241,5,1
242,5,1
243,5,1
244,5,1
245,5,1
246,5,1
247,5,1
248,5,1
249,5,0
250,4,0
251,4,0
252,2,2
253,4,0
254,5,1
255,5,1
256,5,1
257,5,1
258,5,1
259,5,1
260,5,1
261,4,0
262,4,0
263,4,0
264,2,2
265,2,2
266,0,3
267,4,0
268,2,2
269,2,2
270,3,4
271,5,1
272,5,1
273,4,0
274,4,0
275,2,2
276,2,2
277,1,5
278,5,1
279,5,1
280,5,1
281,5,1
282,2,2
283,5,1
284,5,1
285,5,1
286,5,1
287,5,1
288,5,1
289,5,1
290,0,3
291,5,1
292,5,1
293,5,1
294,5,1
295,5,1
296,5,1
297,5,1
298,4,0
299,4,0
300,4,0
301,5,1
302,4,0
303,2,2
304,0,3
305,5,1
306,5,1
307,5,1
308,5,1
309,5,1
310,4,0
311,4,0
312,4,0
313,2,2
314,2,2
315,1,5
316,0,3
317,1,5
318,1,5
319,5,1
320,5,1
321,4,0
322,4,0
323,4,0
324,2,2
325,1,5
326,0,3
327,5,1
328,5,1
329,5,1
330,5,1
331,5,1
332,5,1
333,5,1
334,5,1
335,4,0
336,5,1
337,5,1
338,5,1
339,1,5
340,5,1
341,5,1
342,5,1
343,5,1
344,5,1
345,5,1
346,5,1
347,5,1
348,2,2
349,4,0
350,4,0
351,5,1
352,4,0
353,4,0
354,4,0
355,4,0
356,2,2
357,1,5
358,4,0
359,5,1
360,5,1
361,5,1
362,5,1
363,4,0
364,4,0
365,4,0
366,4,0
367,2,2
368,2,2
369,1,5
370,0,3
371,0,3
372,0,3
373,5,1
374,5,1
375,5,1
376,4,0
377,4,0
378,4,0
379,4,0
380,2,2
381,0,3
382,5,1
383,5,1
384,5,1
385,5,1
386,5,1
387,5,1
388,5,1
389,5,1
390,5,1
391,5,1
392,2,2
393,0,3
394,1,5
395,5,1
396,5,1
397,5,1
398,5,1
399,5,1
400,5,1
401,5,1
402,5,1
403,5,1
404,5,1
405,4,0
406,4,0
407,4,0
408,4,0
409,5,1
410,5,1
411,5,1
412,5,1
413,5,1
414,5,1
415,4,0
416,5,1
417,5,1
418,4,0
419,4,0
420,4,0
421,2,2
422,0,3
423,1,5
424,4,0
425,5,1
426,5,1
427,5,1
428,5,1
429,5,1
430,5,1
431,5,1
432,4,0
433,4,0
434,4,0
435,2,2
436,2,2
437,4,0
438,4,0
439,2,2
440,2,2
441,1,5
442,1,5
443,0,3
444,5,1
445,5,1
446,4,0
447,4,0
448,2,2
449,2,2
450,2,2
451,3,4
452,0,3
453,0,3
454,5,1
455,5,1
456,5,1
457,5,1
458,5,1
459,5,1
460,5,1
461,2,2
462,2,2
463,5,5
464,0,3
465,5,1
466,5,1
467,5,1
468,4,0
469,5,1
470,5,1
471,5,1
472,5,1
473,5,1
474,5,1
475,5,1
476,4,0
477,4,0
478,4,0
479,5,1
480,4,0
481,2,2
482,4,0
483,4,0
484,2,2
485,5,1
486,5,1
487,5,1
488,5,1
489,4,0
490,4,0
491,4,0
492,2,2
493,0,3
494,3,4
495,5,1
496,5,1
497,5,1
498,5,1
499,5,1
500,5,1
501,5,1
502,4,0
503,2,2
504,3,4
505,5,1
506,5,1
507,5,1
508,5,1
509,5,1
510,5,1
511,5,1
512,5,1
513,5,1
514,5,1
515,5,1
516,5,1
517,4,0
518,4,0
519,4,0
520,4,0
521,5,1
522,5,1
523,5,1
524,5,1
525,5,1
526,5,1
527,5,1
528,4,0
529,4,0
530,4,0
531,4,0
532,4,0
533,2,2
534,5,4
535,4,0
536,4,0
537,2,2
538,1,5
539,3,4
540,5,1
541,4,0
542,4,0
543,4,0
544,5,0
545,5,1
546,0,3
547,3,4
548,5,1
549,2,2
550,5,1
551,5,1
552,5,1
553,5,1
554,5,1
555,5,1
556,5,1
557,2,2
558,3,4
559,3,4
560,5,1
561,5,1
562,5,1
563,5,1
564,5,1
565,5,1
566,5,1
567,5,1
568,5,1
569,5,1
570,4,0
571,4,0
572,4,0
573,4,0
574,4,0
575,5,1
576,5,1
577,5,1
578,5,1
579,5,1
580,5,1
581,5,1
582,4,0
583,4,0
584,4,0
585,4,0
586,4,0
587,2,2
588,5,4
589,4,0
590,4,0
591,2,2
592,5,4
593,3,4
594,3,4
595,5,1
596,4,0
597,4,0
