,epoch_cluster,lr_cluster,alpha_recons_cluster,beta_cluster,gamma_structure_cluster,delta_graph_cluster,embedding_size_cluster,num_neurons_cluster
0,500,0.001,0.1,0.1,0.1,0.1,32,128
1,500,0.001,0.1,0.1,0.1,0.1,32,512
2,500,0.001,0.1,0.1,0.1,0.001,32,128
3,500,0.001,0.1,0.1,0.1,0.001,32,512
4,500,0.001,0.1,0.1,0.001,0.1,32,128
5,500,0.001,0.1,0.1,0.001,0.1,32,512
6,500,0.001,0.1,0.1,0.001,0.001,32,128
7,500,0.001,0.1,0.1,0.001,0.001,32,512
8,500,0.001,0.1,0.001,0.1,0.1,32,128
9,500,0.001,0.1,0.001,0.1,0.1,32,512
10,500,0.001,0.1,0.001,0.1,0.001,32,128
11,500,0.001,0.1,0.001,0.1,0.001,32,512
12,500,0.001,0.1,0.001,0.001,0.1,32,128
13,500,0.001,0.1,0.001,0.001,0.1,32,512
14,500,0.001,0.1,0.001,0.001,0.001,32,128
15,500,0.001,0.1,0.001,0.001,0.001,32,512
16,500,0.001,0.8,0.1,0.1,0.1,32,128
17,500,0.001,0.8,0.1,0.1,0.1,32,512
18,500,0.001,0.8,0.1,0.1,0.001,32,128
19,500,0.001,0.8,0.1,0.1,0.001,32,512
20,500,0.001,0.8,0.1,0.001,0.1,32,128
21,500,0.001,0.8,0.1,0.001,0.1,32,512
22,500,0.001,0.8,0.1,0.001,0.001,32,128
23,500,0.001,0.8,0.1,0.001,0.001,32,512
24,500,0.001,0.8,0.001,0.1,0.1,32,128
25,500,0.001,0.8,0.001,0.1,0.1,32,512
26,500,0.001,0.8,0.001,0.1,0.001,32,128
27,500,0.001,0.8,0.001,0.1,0.001,32,512
28,500,0.001,0.8,0.001,0.001,0.1,32,128
29,500,0.001,0.8,0.001,0.001,0.1,32,512
30,500,0.001,0.8,0.001,0.001,0.001,32,128
31,500,0.001,0.8,0.001,0.001,0.001,32,512
32,500,0.01,0.1,0.1,0.1,0.1,32,128
33,500,0.01,0.1,0.1,0.1,0.1,32,512
34,500,0.01,0.1,0.1,0.1,0.001,32,128
35,500,0.01,0.1,0.1,0.1,0.001,32,512
36,500,0.01,0.1,0.1,0.001,0.1,32,128
37,500,0.01,0.1,0.1,0.001,0.1,32,512
38,500,0.01,0.1,0.1,0.001,0.001,32,128
39,500,0.01,0.1,0.1,0.001,0.001,32,512
40,500,0.01,0.1,0.001,0.1,0.1,32,128
41,500,0.01,0.1,0.001,0.1,0.1,32,512
42,500,0.01,0.1,0.001,0.1,0.001,32,128
43,500,0.01,0.1,0.001,0.1,0.001,32,512
44,500,0.01,0.1,0.001,0.001,0.1,32,128
45,500,0.01,0.1,0.001,0.001,0.1,32,512
46,500,0.01,0.1,0.001,0.001,0.001,32,128
47,500,0.01,0.1,0.001,0.001,0.001,32,512
48,500,0.01,0.8,0.1,0.1,0.1,32,128
49,500,0.01,0.8,0.1,0.1,0.1,32,512
50,500,0.01,0.8,0.1,0.1,0.001,32,128
51,500,0.01,0.8,0.1,0.1,0.001,32,512
52,500,0.01,0.8,0.1,0.001,0.1,32,128
53,500,0.01,0.8,0.1,0.001,0.1,32,512
54,500,0.01,0.8,0.1,0.001,0.001,32,128
55,500,0.01,0.8,0.1,0.001,0.001,32,512
56,500,0.01,0.8,0.001,0.1,0.1,32,128
57,500,0.01,0.8,0.001,0.1,0.1,32,512
58,500,0.01,0.8,0.001,0.1,0.001,32,128
59,500,0.01,0.8,0.001,0.1,0.001,32,512
60,500,0.01,0.8,0.001,0.001,0.1,32,128
61,500,0.01,0.8,0.001,0.001,0.1,32,512
62,500,0.01,0.8,0.001,0.001,0.001,32,128
63,500,0.01,0.8,0.001,0.001,0.001,32,512
64,750,0.001,0.1,0.1,0.1,0.1,32,128
65,750,0.001,0.1,0.1,0.1,0.1,32,512
66,750,0.001,0.1,0.1,0.1,0.001,32,128
67,750,0.001,0.1,0.1,0.1,0.001,32,512
68,750,0.001,0.1,0.1,0.001,0.1,32,128
69,750,0.001,0.1,0.1,0.001,0.1,32,512
70,750,0.001,0.1,0.1,0.001,0.001,32,128
71,750,0.001,0.1,0.1,0.001,0.001,32,512
72,750,0.001,0.1,0.001,0.1,0.1,32,128
73,750,0.001,0.1,0.001,0.1,0.1,32,512
74,750,0.001,0.1,0.001,0.1,0.001,32,128
75,750,0.001,0.1,0.001,0.1,0.001,32,512
76,750,0.001,0.1,0.001,0.001,0.1,32,128
