,hidden_dim,latent_dim,conv_layer,pre_epoch,epochs,lr,optimizer,Best epoch,ARI,NMI
0,64,32,<class 'torch_geometric.nn.conv.gcn_conv.GCNConv'>,200,500,0.001,Adam,20,0.8002563628992883,0.8208635178821467
1,64,32,<class 'torch_geometric.nn.conv.gcn_conv.GCNConv'>,200,500,0.01,Adam,50,0.5891196364733127,0.7273152123016079
2,64,32,<class 'torch_geometric.nn.conv.gcn_conv.GCNConv'>,200,500,0.005,Adam,20,0.5306245933246265,0.6346748654196058
3,64,32,<class 'torch_geometric.nn.conv.gcn_conv.GCNConv'>,200,500,0.0001,Adam,310,0.8014264785089363,0.82319408308596
4,64,32,<class 'torch_geometric.nn.conv.gcn_conv.GCNConv'>,500,500,0.001,Adam,30,0.8792797021718467,0.867188227553174
5,64,32,<class 'torch_geometric.nn.conv.gcn_conv.GCNConv'>,500,500,0.01,Adam,0,0.15506919970453084,0.27150807673238475
6,64,32,<class 'torch_geometric.nn.conv.gcn_conv.GCNConv'>,500,500,0.005,Adam,20,0.8733412148343414,0.8614108392681855
7,64,32,<class 'torch_geometric.nn.conv.gcn_conv.GCNConv'>,500,500,0.0001,Adam,290,0.888244496238918,0.8727540474285342
8,64,32,<class 'torch_geometric.nn.conv.gcn_conv.GCNConv'>,200,800,0.001,Adam,110,0.8928072165977293,0.878099499091656
9,64,32,<class 'torch_geometric.nn.conv.gcn_conv.GCNConv'>,200,800,0.01,Adam,0,0.5685749451393425,0.6486383267163937
10,64,32,<class 'torch_geometric.nn.conv.gcn_conv.GCNConv'>,200,800,0.005,Adam,60,0.7225943606073228,0.7807540633902393
11,64,32,<class 'torch_geometric.nn.conv.gcn_conv.GCNConv'>,200,800,0.0001,Adam,710,0.8930103375975612,0.8765309881148035
12,64,32,<class 'torch_geometric.nn.conv.gcn_conv.GCNConv'>,500,800,0.001,Adam,100,0.8928536079772428,0.8771675704866391
13,64,32,<class 'torch_geometric.nn.conv.gcn_conv.GCNConv'>,500,800,0.01,Adam,0,0.0,0.0
14,64,32,<class 'torch_geometric.nn.conv.gcn_conv.GCNConv'>,500,800,0.005,Adam,90,0.8876816355406721,0.8712130854697189
15,64,32,<class 'torch_geometric.nn.conv.gcn_conv.GCNConv'>,500,800,0.0001,Adam,600,0.8919301869799244,0.8754307234878288
16,64,32,<class 'torch_geometric.nn.conv.gcn_conv.GCNConv'>,200,300,0.001,Adam,280,0.8914808228817552,0.8769038196372054
17,64,32,<class 'torch_geometric.nn.conv.gcn_conv.GCNConv'>,200,300,0.01,Adam,10,0.4793311244006995,0.6365325558500863
18,64,32,<class 'torch_geometric.nn.conv.gcn_conv.GCNConv'>,200,300,0.005,Adam,40,0.820877243508546,0.8197550390601653
19,64,32,<class 'torch_geometric.nn.conv.gcn_conv.GCNConv'>,200,300,0.0001,Adam,230,0.8757618216987791,0.8661350542572531
20,64,32,<class 'torch_geometric.nn.conv.gcn_conv.GCNConv'>,500,300,0.001,Adam,160,0.8944364944382585,0.878735584802634
21,64,32,<class 'torch_geometric.nn.conv.gcn_conv.GCNConv'>,500,300,0.01,Adam,0,0.3073266137535174,0.4459381069573381
22,64,32,<class 'torch_geometric.nn.conv.gcn_conv.GCNConv'>,500,300,0.005,Adam,0,0.8289528961373539,0.8313530128099625
23,64,32,<class 'torch_geometric.nn.conv.gcn_conv.GCNConv'>,500,300,0.0001,Adam,260,0.887351925795074,0.8714943200563172
24,64,32,<class 'torch_geometric.nn.conv.sage_conv.SAGEConv'>,200,500,0.001,Adam,190,0.9026757370617037,0.8847674714738942
25,64,32,<class 'torch_geometric.nn.conv.sage_conv.SAGEConv'>,200,500,0.01,Adam,0,0.0,0.0
26,64,32,<class 'torch_geometric.nn.conv.sage_conv.SAGEConv'>,200,500,0.005,Adam,30,0.2973235328322658,0.4940816828863531
27,64,32,<class 'torch_geometric.nn.conv.sage_conv.SAGEConv'>,200,500,0.0001,Adam,490,0.9006073047266836,0.8823385010088255
28,64,32,<class 'torch_geometric.nn.conv.sage_conv.SAGEConv'>,500,500,0.001,Adam,160,0.8983670007343731,0.8808001704320424
29,64,32,<class 'torch_geometric.nn.conv.sage_conv.SAGEConv'>,500,500,0.01,Adam,0,0.2140126817995076,0.3732664469786982
30,64,32,<class 'torch_geometric.nn.conv.sage_conv.SAGEConv'>,500,500,0.005,Adam,70,0.6874707809271255,0.7763534989819846
